DEVICEID,TRAVELID,SJ,LANEID,SPEED,FTNODE
916,808a1475f3f5f838aca1e46a35ae4fbb,2019/7/3 9:31,-1,20,5021_5012
916,c738169d019b37d659d973269b7eaac7,2019/7/3 9:31,2,35.04624354,5021_5012
916,139d6cff54f34f6ae094b944be7fee09,2019/7/3 9:31,-1,20,5021_5012
916,53979a879549e14ee51888acc30d2832,2019/7/3 9:31,4,32.55063622,5021_5012
916,2a60b7fdfa33a315a78cdbe86cf99312,2019/7/3 9:31,3,4.181003785,5021_5012
916,ad9c10368117147165011a27498e7ee5,2019/7/3 9:31,3,30.75611193,5021_5012
916,c678614bc5b7600d6be96112ca5462a1,2019/7/3 9:31,3,31.29603146,5021_5012
915,6f73b0dc641ed584c3bfa8c75c00dda1,2019/7/3 9:32,3,19.94244891,5021_5012
915,a20ca1113ed87742a0d008d036090a7e,2019/7/3 9:32,3,40.18940757,5021_5012
915,a25459d16888e6f2c087c990aa237ec8,2019/7/3 9:32,3,41.07580285,5021_5012
916,6f73b0dc641ed584c3bfa8c75c00dda1,2019/7/3 9:32,-1,20,5021_5012
916,659166c49de9033c0bcba51556530ae1,2019/7/3 9:32,1,23.58641692,5021_5012
916,9be9516df638dd7bef9fcc6a300a9517,2019/7/3 9:32,4,23.91056325,5021_5012
916,dfde08addc6fd0f7c71822022553fd50,2019/7/3 9:32,4,35.61850734,5021_5012
916,30386392ec3561f57b53de153f095878,2019/7/3 9:32,1,35.06045523,5021_5012
916,88faff203411f5dc99df332af395eb3d,2019/7/3 9:32,-1,20,5021_5012
916,3b70d4bbc1df99aaecc96b6cffd97b92,2019/7/3 9:32,1,23.99503323,5021_5012
916,2a9fbae1194d2256345a303b599a2f44,2019/7/3 9:32,3,35.28273555,5021_5012
916,46417b9d031952db3fb6b88fb5db0209,2019/7/3 9:32,1,35.65869768,5021_5012
915,5e8a26a426a292ff811e3fb37c36bbcc,2019/7/3 9:33,1,35.4992843,5021_5012
915,2be6a7223aab554e48148a2bbe4cc11c,2019/7/3 9:33,3,35.16262157,5021_5012
915,230c3a5eadadbeb763e78c4955713fed,2019/7/3 9:33,1.19E+18,15.14899657,5021_5012
915,1068a3fc659535fcbafd9203ea32eedd,2019/7/3 9:33,1,48.31546845,5021_5012
915,1ced13e3a24fc428bd865280eb919841,2019/7/3 9:33,1.19E+18,16.25613432,5021_5012
915,0be38cad3e4b261e290d127b36b35b62,2019/7/3 9:33,1,35.41527074,5021_5012
915,da947655e8f8039011ce93709cdc23a2,2019/7/3 9:33,1.19E+18,35.32860028,5021_5012
915,ce8e56735223f63587d1ba8dda9bd03e,2019/7/3 9:33,1,35.23002908,5021_5012
915,0953b12f53132846da3908b496f26d96,2019/7/3 9:33,2,12.85009403,5021_5012
915,cf0b45f2b0fd795bf187e33dc93b0f63,2019/7/3 9:33,1,52.76804653,5021_5012
916,a20ca1113ed87742a0d008d036090a7e,2019/7/3 9:33,3,40.18940757,5021_5012
916,251ac69e6178e08e1d0c17bc3250c20f,2019/7/3 9:33,1,11.84493381,5021_5012
916,debda15e94b0f60a42cfb623560366aa,2019/7/3 9:33,1,13.93273538,5021_5012
916,5e8a26a426a292ff811e3fb37c36bbcc,2019/7/3 9:33,1,35.4992843,5021_5012
916,2be6a7223aab554e48148a2bbe4cc11c,2019/7/3 9:33,3,35.16262157,5021_5012
916,1068a3fc659535fcbafd9203ea32eedd,2019/7/3 9:33,1,48.31546845,5021_5012
916,af6e383c4ff660ed3bbe463525b31fad,2019/7/3 9:33,-1,20,5021_5012
916,da947655e8f8039011ce93709cdc23a2,2019/7/3 9:33,2,35.32860028,5021_5012
916,ce8e56735223f63587d1ba8dda9bd03e,2019/7/3 9:33,1,35.23002908,5021_5012
916,a25459d16888e6f2c087c990aa237ec8,2019/7/3 9:33,4,41.07580285,5021_5012
916,cf0b45f2b0fd795bf187e33dc93b0f63,2019/7/3 9:33,1,52.76804653,5021_5012
916,40a20f2e62377669c144ed1bf1d7722c,2019/7/3 9:33,1,30.08619474,5021_5012
915,647ae0bf6c640a00c65516435935a8a3,2019/7/3 9:34,3,51.05590998,5021_5012
915,45a6a842f2748a91c5ea2b1f405f3a19,2019/7/3 9:34,3,47.92176999,5021_5012
915,16cf8a9fa0314f547311832bb64ffd1b,2019/7/3 9:34,3,19.94244891,5021_5012
915,46f2e031acf1614f0d05a3b0d7b27330,2019/7/3 9:34,1.19E+18,33.7561167,5021_5012
915,2aa5deed1931248769459976f8620152,2019/7/3 9:34,1.19E+18,49.86137425,5021_5012
915,b75c7ae49360d14eeb2e5ea4fa4c9b51,2019/7/3 9:34,3,30.63354599,5021_5012
915,001ae602229b8fc1f49a27e753ae42bd,2019/7/3 9:34,2,46.35551225,5021_5012
915,eadf07f600de581e819129fb5ab8946d,2019/7/3 9:34,1,35.35307382,5021_5012
915,25b404709113e546f02266b4d1ca311d,2019/7/3 9:34,2,22.95091574,5021_5012
915,831a7f3abedce95da6ecc0a15fee335e,2019/7/3 9:34,3,33.69690059,5021_5012
915,2d54a538e9da0bccd5b12774a7e8297b,2019/7/3 9:34,1,32.95971588,5021_5012
915,99d101c0355aa1b583e5e22ca5e72cf9,2019/7/3 9:34,3,20.24858195,5021_5012
915,38a16704c07b4e7782c6b29bbd2e96f9,2019/7/3 9:34,2,45.71854476,5021_5012
915,9b119a1cc2c50d7c555eebdd0208cc53,2019/7/3 9:34,2,34.44922523,5021_5012
915,446cd07b6dd221329160ace343f25c01,2019/7/3 9:34,3,48.24643858,5021_5012
915,9f8aeb21108c87bd8a91e13af25fc882,2019/7/3 9:34,3,20.74409772,5021_5012
915,3178f4b9b28d4c43cb933e3e3d2fce7c,2019/7/3 9:34,1,35.65869768,5021_5012
915,18c4edfdf93b5ad670a7de4685232663,2019/7/3 9:34,1.19E+18,25.22982748,5021_5012
916,45a6a842f2748a91c5ea2b1f405f3a19,2019/7/3 9:34,4,47.92176999,5021_5012
916,16cf8a9fa0314f547311832bb64ffd1b,2019/7/3 9:34,-1,20,5021_5012
